,perplexity,prediction,percentage,entropy_rate,rates
10,48.66,Human,7.9,0.7198284358277052,"[0.7896310210012074, 0.8483618762890099, 0.7753506354606406, 0.7260585553165788, 0.7806274756077133, 0.6955680903562854, 0.7093465998034504, 0.688474184103553, 0.7213351966270709, 0.8194370176669225, 0.6956532866051333, 0.7895359841743795, 0.7215006379641211, 0.6888216972543125, 0.7150881651601012, 0.6816781065588645, 0.703351732130171, 0.7780802047367312, 0.7208611847854243, 0.0, 0.7162974608928372, 0.7055377763719726, 0.7038474810911886, 0.7128804106551484, 0.8015182066626938, 0.6924624701581447, 0.8075834452619863, 0.7124899307476739, 0.7423873666340677, 0.6846068771825067, 0.7305198599184238, 0.7156977278155052, 0.7058634259242077, 0.690775569256684, 0.7117863680264663, 0.8130969029606139, 0.736624915031583, 0.8444831744975291, 0.7332633281416225, 0.7267474448238059, 0.7757340752795809]"
11,63.05,Human,91.81,0.5754581532224341,"[0.6419465954847231, 0.6657226007643592, 0.6315347462479382, 0.7000446279809034, 0.0, 0.6888567659452899, 0.6484920274377904, 0.6278152557687092, 0.748268680373746, 0.7339442847689982, 0.7248416393235495, 0.654891043618557, 0.6237886082030822, 0.7185854908864232, 0.0, 0.0, 0.0, 0.0, 0.6165886629029297, 0.6779133538552476, 0.0, 0.7267921530513107, 0.7916916014349017, 0.6925185906767753, 0.0, 0.6933335208013655, 0.7336978069792189, 0.6887144495793768, 0.6395801421739022, 0.7775305879080734, 0.6267076662278641, 0.7112136463678839, 0.8016690995082041, 0.77934724082536, 0.6883225943827183, 0.668463375660945, 0.7337207322660423, 0.6244912732358873, 0.7335596990429976, 0.7473951970928182, 0.6318005213419089]"
12,67.72,Human,31.66,0.5957816172274027,"[0.5774644347434094, 0.0, 0.5395368709693454, 0.7309365440365043, 0.5639665604906046, 0.8189992865524733, 0.765914691882584, 0.6746061665647851, 0.681676690339385, 0.6200181254748108, 0.5670313531103708, 0.0, 0.5648852054435455, 0.7332673670023561, 0.6224098981226889, 0.5775731879606851, 0.5901561776480825, 0.5662636497812951, 0.5662913207987272, 0.0, 0.6856223775010868, 0.5647653907836718, 0.7545008464852199, 0.5691105892556312, 0.6172488968709293, 0.5867965497187175, 0.6231818575917132, 0.5197345338011505, 0.570522271405041, 0.6058370154207522, 0.5630140831623751, 0.5727590265214766, 0.7606485614384171, 0.6971940774538827, 0.6531010010893874, 0.7312733691257006, 0.785214125650841, 0.7219109473943826, 0.6414312448809101, 0.7641214721780007, 0.6780605376725733]"
13,52.3,Human,92.45,0.5954948597426364,"[0.7123354357213371, 0.7195004951566593, 0.7294892456127962, 0.7704459656288732, 0.6767477443413458, 0.8084608973112689, 0.7190448205998683, 0.0, 0.7126551036744438, 0.0, 0.7219291412542828, 0.0, 0.7428063659039693, 0.0, 0.7318401424999958, 0.0, 0.9205373380660882, 0.7350402327723663, 0.7141422505507541, 0.0, 0.7853916931975141, 0.6947434668889219, 0.7044960254047501, 0.8484124726219362, 0.8795802543482261, 0.7249390662306012, 0.0, 0.7193613166190838, 0.8004407750618262, 0.0, 0.7468615078799594, 0.0, 0.7335012494391423, 0.7162775865826972, 0.8293376311074545, 0.7366519996834902, 0.8905199076396672, 0.73035958638209, 0.7619245544485154, 0.886912640155972, 0.810602336662194]"
15,50.27,Human,80.98,0.7259145281173757,"[0.7436765502113405, 0.6591010002648776, 0.7596074953134926, 0.6239815607080564, 0.7442918655381549, 0.7724625468057799, 0.6682877780575325, 0.6447875226361967, 0.6091185647664135, 0.6108857167451619, 0.7899145370403197, 0.5967615932922795, 0.6539321641924679, 0.6391694718848171, 0.7039944862116276, 0.7496856488849075, 0.712715060316378, 0.6174008612357471, 0.7853370935661241, 0.788394736156413, 0.6332486401173737, 0.80648832339218, 0.754744003785927, 0.7268414099265073, 0.7130992503137394, 0.8024767975506691, 0.642620405613698, 0.7103500043280525, 0.7624638828367387, 0.7536369271400346, 0.7785157387105188, 0.824066502460252, 0.6963921558150186, 0.7731001347228086, 0.776935325323818, 0.7548854737200533, 0.7841585338863022, 0.7946881470967624, 0.8107850133972244, 0.7987835737245594, 0.7907091551220724]"
16,91.27,Human,10.96,0.7054250073046132,"[0.7234864597525315, 0.710867535453653, 0.7426938265642645, 0.6626053954158431, 0.7152246416545915, 0.7187290993692471, 0.7069841956622256, 0.6602836310526601, 0.711782408742929, 0.6096051468116043, 0.705358156539677, 0.6882422958559743, 0.7269246195971016, 0.7159346819221222, 0.7097994858744293, 0.7078542237649661, 0.6416829998142283, 0.7393812165480476, 0.7346320658229207, 0.7012482411915671, 0.6040419546829356, 0.769595697536039, 0.7244617171076071, 0.7265683217070147, 0.7136178715573765, 0.7184527957864717, 0.6836055530455626, 0.7078330946050764, 0.6712220227883706, 0.7048941403785004, 0.6663434844038154, 0.635383612859742, 0.7444782135627314, 0.6821371023411319, 0.7149988943170039, 0.7158496819526496, 0.7478989073536192, 0.7341790799826351, 0.749730896085781, 0.7220526943815925, 0.7517592356429112]"
17,61.56,Human,73.44,0.6860397391463688,"[0.7505053061001464, 0.7032521566892708, 0.7359877024712487, 0.6476574162415651, 0.6170523347868506, 0.6369433961311436, 0.7354685370987254, 0.6655751004089839, 0.67203153088678, 0.6958959088361143, 0.7843126644544867, 0.6328462055909234, 0.6276549942592576, 0.7361215755129503, 0.6612688361627239, 0.6759979238399434, 0.6175945964342622, 0.6201356015286623, 0.6870761601970362, 0.6380595481988479, 0.6322860355736125, 0.6536204422242752, 0.7093709959469761, 0.694130421397353, 0.7776053918131016, 0.6919138409889946, 0.6379275277170965, 0.7189442465804965, 0.7365936086924666, 0.6150963223837598, 0.6293349116799956, 0.6091476539130625, 0.6617890120116797, 0.7212512317917532, 0.7307015554395048, 0.7034365850428309, 0.7434896520056855, 0.7561365992628188, 0.7214750596620685, 0.7126044109813167, 0.7293363040623452]"
18,61.24,Human,14.88,0.7082963223406138,"[0.7220326950889469, 0.718461795862454, 0.7129439749255523, 0.6867488900604074, 0.6652849253013638, 0.7663356620958304, 0.6950916501717237, 0.6988755553596584, 0.7002699593539282, 0.6892550907631818, 0.734907253443127, 0.7277106087064099, 0.7243412267407191, 0.7448579812780486, 0.6048819168646474, 0.7112303251974834, 0.7105729979982347, 0.6933075520208001, 0.7060856717053946, 0.7509454099580865, 0.6721347316473608, 0.665762401495782, 0.7491766405283428, 0.7064564050613731, 0.7669890079275402, 0.7543771429904284, 0.7047228243232682, 0.7223978558018385, 0.7488668262062985, 0.7010987323306984, 0.7590387073984382, 0.7086481281083965, 0.7105288716895779, 0.6737362885313226, 0.6979253096570943, 0.6809123699442612, 0.6542948942117767, 0.6661265243270339, 0.6865725183063432, 0.7325483186839974, 0.7136935738979894]"
19,52.4,Human,83.18,0.4539122924106839,"[0.5396970836807183, 0.5837786482529672, 0.5713173180127967, 0.6419839828023293, 0.6110189315611216, 0.6596676823521722, 0.6247211573700423, 0.5239887106686062, 0.5993693086645383, 0.5756482350013996, 0.5322109915230469, 0.0, 0.5918066313125708, 0.0, 0.6205344392979482, 0.0, 0.6145012752328007, 0.0, 0.0, 0.5351899218013715, 0.626266020341395, 0.5623891358085837, 0.0, 0.6424693411294866, 0.6691999685277399, 0.572357483028172, 0.0, 0.0, 0.5695073584163446, 0.5767005135640538, 0.636543421662553, 0.5764811333008979, 0.6078532252459761, 0.0, 0.0, 0.5848458072536968, 0.6031361343335264, 0.5424165659303031, 0.6064320606183893, 0.7016139272306843, 0.7067575749118095]"
20,41.84,Human,99.99,0.718586669082887,"[0.6799772370552017, 0.7057572184609023, 0.6882828561491774, 0.650638212766438, 0.6498791149989074, 0.6713570267586685, 0.8185863949993191, 0.8651861805254119, 0.6845196395797271, 0.6399839787266703, 0.7143794152335945, 0.6958186746321666, 0.7602041936433392, 0.7364235554803091, 0.6528883037724219, 0.6587110092574605, 0.6367690279414219, 0.7214724844095233, 0.8922426907485642, 0.7788834858469876, 0.8779203118143426, 0.6555969677318476, 0.6445747220034396, 0.6558450874496342, 0.680421085223163, 0.680922363788631, 0.6813042261023001, 0.6514976090560479, 0.6569654713166756, 0.6471146312157059, 0.6635196028639234, 0.6575673450366276, 0.6791053239165158, 0.8461430035239458, 0.6821051901162227, 0.7890094098177632, 0.7336956753366956, 0.70815019326574, 0.8861503830165888, 0.8677008087631798, 0.8147833200531701]"
