,perplexity,prediction,percentage,entropy_rate,rates
10,30.45,Human,99.76,0.2779111569968245,"[0.0, 0.6233202495258683, 0.0, 0.3831657588001462, 0.3639684173583103, 0.0, 0.0, 0.0, 0.5783603216794656, 0.26792887949703187, 0.4527936001422219, 0.0, 0.0, 0.5751471706835789, 0.0, 0.6624882002630289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.550338849520108, 0.0, 0.5494044804012691, 0.0, 0.5184876796376069, 0.0, 0.6398911746919532, 0.47360604772304676, 0.513622463183337, 0.0, 0.39201418340614996, 0.42989503743328494, 0.6209888260178067, 0.5073505199218531, 0.4056390622295664, 0.4642892657654245, 0.5052329179714329, 0.4499047461885251, 0.46651958482878686, 0.0]"
11,19.05,AI,89.51,0.5738718657285882,"[0.5610968510643046, 0.5765777410140159, 0.5707250448253208, 0.5561527754709609, 0.5264876657625522, 0.582020100777184, 0.5629339921331791, 0.5783819567789173, 0.5919270314583541, 0.5592257182106654, 0.5169165538486786, 0.5904871382746555, 0.5718315496596748, 0.5620121265314374, 0.568589032326675, 0.5379921009001866, 0.5756595201947767, 0.6073977785527854, 0.5606833741497986, 0.6169837938621654, 0.5471278272398199, 0.5892189476579224, 0.5316212055922489, 0.5576764882529219, 0.5902231751385153, 0.5589010521843427, 0.5784937996569756, 0.5976132726683565, 0.6449840818004566, 0.5635542485968378, 0.5765168868142767, 0.5369375109222047, 0.5559341541207847, 0.5818860143176938, 0.5825922257611921, 0.5746066183798781, 0.6120723128249094, 0.6125062907307336, 0.6051346842655931, 0.5586518899723597, 0.5984119621778095]"
12,34.22,Human,65.89,0.5728174945864322,"[0.60128577200283, 0.5582396964494761, 0.5363330252664483, 0.5672744104034566, 0.5612768920645274, 0.5177170909687652, 0.6429971565330013, 0.5443930636511481, 0.5473452797216308, 0.597358969812219, 0.5331407343866499, 0.5297590725959495, 0.5981684386648093, 0.5376265914034828, 0.5597012914612205, 0.5561919458460408, 0.5520003391989072, 0.5539522548261447, 0.5553337338463357, 0.5456125639911784, 0.5798262429048107, 0.5596188942679767, 0.6030115367990821, 0.5384536726496896, 0.6269309972011278, 0.6255876321088726, 0.5123494407975893, 0.563491578789236, 0.5688321525099539, 0.596285876518113, 0.6182003016375347, 0.5680520946462452, 0.5667210796673718, 0.5571093242119872, 0.5617748738690093, 0.5768144980799591, 0.5723994392876173, 0.6279944349383129, 0.6436599877458528, 0.6377518599580517, 0.5849430363611018]"
15,65.03,Human,1.79,0.9269178769713375,"[0.8908532128325652, 0.8914332157369982, 0.839686286281999, 1.032396491482369, 0.9498487177249267, 0.8583218037272442, 0.9128745014873552, 0.892127230357478, 0.8747534851106238, 0.9005496897616727, 0.9072645981618408, 0.9800009645974441, 0.9626093164562683, 0.877863146709863, 0.8746538400315674, 0.9351138931376356, 0.9101131142885468, 0.9891151838913969, 0.8415993594987521, 0.9260087933445501, 1.0702257312169385, 0.8635016834025233, 0.9491757273900308, 0.9133671031108763, 0.9138448662939198, 0.8979269411846059, 0.9391882297067767, 0.8935800358702004, 0.8961084848333521, 0.9086978812161276, 0.8804134619056385, 0.9457307182140049, 0.9038516700502259, 1.009284245277084, 0.9942763700204579, 0.9997078021146751, 0.9232991401056803, 0.951030128633538, 1.0196936385935729, 0.9832462335131739, 0.9002960185503256]"
16,26.57,Human,7.93,0.5440476928274697,"[0.7686039001529996, 0.6029877569209305, 0.7371802690525959, 0.0, 0.7861723565458117, 0.4641810361974339, 0.477202035910578, 0.47768218041105764, 0.6881042567014671, 0.8217458375278371, 0.7642894386992415, 0.7885483117641511, 0.8056391825712135, 0.5565787006736734, 0.0, 0.5573311400238301, 0.4721075059206362, 0.728708936681876, 0.0, 0.5277892701269912, 0.0, 0.565404399886525, 0.0, 0.5963781394218021, 0.5426114467610995, 0.0, 0.0, 0.5262272558032803, 0.6847848178179691, 0.8177693733692156, 0.6679866304432297, 0.8711343024592241, 0.7555382897559394, 0.6825378649129201, 0.777652050390482, 0.4903462165462228, 0.8341583944342422, 0.6789310331570395, 0.6374961761305207, 0.5739501995313715, 0.578196699222851]"
17,18.21,AI,87.42,0.29704716302282186,"[0.5281161774763794, 0.0, 0.4355120863728588, 0.0, 0.0, 0.5471029177755584, 0.5398752577306597, 0.0, 0.3748593698698611, 0.0, 0.0, 0.48689187096125663, 0.5383342563086305, 0.0, 0.0, 0.6039357478323616, 0.0, 0.0, 0.0, 0.48988401524349834, 0.0, 0.0, 0.0, 0.5378761636155626, 0.5057532573876604, 0.0, 0.0, 0.5764382244043276, 0.5493600734812297, 0.48131247545347977, 0.5227483417817235, 0.4755228286097663, 0.4591479092130874, 0.3876737785505993, 0.42965015927142125, 0.0, 0.5579096061740528, 0.5286535459173322, 0.49146552010357875, 0.5656379104126646, 0.5652721899881422]"
18,33.06,Human,80.03,0.8379893354720328,"[0.899377025640639, 0.7836143918214048, 0.8079931988236501, 0.8354186054148812, 0.9350360102787665, 0.7748768899290936, 0.7989930633944883, 0.7900256985830844, 0.7994871722389157, 0.8283790812844077, 0.8785859615517364, 0.7968873058173055, 0.914744960124756, 0.9542718855196649, 0.7824721667097779, 0.7964998253308568, 0.7899008256588148, 0.8938136039114807, 0.7755567866299878, 0.7788321099220631, 0.7980558408459416, 0.7854717195128056, 0.7935986369087022, 0.9336069863642162, 0.8015443721958107, 0.7655564317647036, 0.8070172589687109, 0.8113333160484897, 0.7984469765194374, 0.9351245857877214, 0.9323223933252937, 0.8445174254310394, 0.8361217316464739, 0.8626720829342933, 0.8491512897051855, 0.8053241102526362, 0.8867791729747, 0.8965268952024864, 0.9373199017944613, 0.856740433077041, 0.8055646245074176]"
19,44.19,Human,3.36,0.4522671337108188,"[0.0, 0.0, 0.7789465486222399, 0.6281021458749002, 0.6378014804335163, 0.0, 0.0, 0.8162757881801035, 0.8867216804979083, 0.0, 0.8015747079730743, 0.6215549730455534, 0.0, 0.7958049306175405, 0.0, 0.0, 0.0, 0.0, 0.7848976488808587, 0.6671853498923309, 0.0, 0.7758594464472864, 0.0, 0.0, 0.6228859032145762, 0.6000514341235265, 0.0, 0.0, 0.8179953687639064, 0.6817452755825372, 0.6987315537161315, 0.8242393236339676, 0.8374539967431314, 0.670867335038229, 0.7769026738301871, 0.8544861736094309, 0.0, 0.6518778330354082, 0.8469429937030284, 0.8710983356168429, 0.592949581067354]"
21,29.57,Human,18.42,0.7067498620130652,"[0.7679956160321251, 0.7436380885957716, 1.000630115913138, 0.8406543426011782, 0.881833544203657, 0.7433391541211846, 0.9508662622424293, 0.986702939686904, 0.7344074925454204, 0.749375640204606, 0.7825757537379073, 0.0, 0.9226964030179376, 0.7379933132731875, 0.0, 0.0, 0.7442211743166461, 0.7533324956011102, 0.0, 0.7611787790880322, 0.706447570503107, 0.8455068762126423, 0.7511947633905278, 0.7186094231746181, 0.0, 1.0478582965170684, 0.7298244048903363, 0.0, 0.8376082213901509, 0.9832145653716289, 0.9702450278897073, 0.7272442026681836, 0.8302273484827738, 0.7940488167560397, 0.8566971895012313, 0.8644056183314676, 0.7259973918447904, 0.7262997941511372, 0.7444733385656915, 0.9800077793504303, 1.035392598362907]"
23,41.89,Human,17.58,0.5680067210701952,"[0.6491150935337627, 0.7620576823911158, 0.0, 0.7602464192038045, 0.0, 0.7440566341281547, 0.0, 0.7796610042918927, 0.0, 0.756052109798384, 0.0, 0.0, 0.8751962623083981, 0.0, 0.0, 0.8194076838246924, 0.7618952422242194, 0.0, 0.7668277533513432, 0.0, 0.8007271067884663, 0.7308735695365411, 0.8188545519403713, 0.7859687697447759, 0.0, 0.7673223044292847, 0.76232691211696, 0.7463953888474297, 0.7796516868687243, 0.7124199876301862, 0.829222486393976, 0.7691459925740859, 0.7893278903161874, 0.8155029675882688, 0.8545840754498785, 0.7807840711014674, 0.8056736823667917, 0.7528138517533225, 0.770650306793488, 0.7922808120775646, 0.7492332645044671]"
