,perplexity,prediction,percentage,entropy_rate,rates
2,54.56,Human,9.53,0.46649572132679534,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9320402099636812, 0.6960576431004571, 0.6139018484983275, 0.8019249292978441, 0.0, 0.0, 0.0, 0.8368117144554882, 0.0, 0.8428646716049788, 0.6941295202197558, 0.0, 0.0, 0.7266568943204682, 0.0, 0.7249306027993777, 0.0, 0.7187200370480205, 0.7226229140617266, 0.7165014691506775, 0.8731172872226813, 0.0, 0.0, 0.9353768669255023, 0.7028195311147832, 0.8983108162171013, 0.7291167484850309, 0.8649784604307328, 0.8636012500721749, 0.8504691639333528, 0.9138874485645561, 0.7050068614092707, 0.8626918549570768, 0.8997858305455414]"
3,48.15,Human,8.04,0.31305807322812407,"[0.0, 0.5232034704713198, 0.0, 0.0, 0.6635341212275094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.539697385299175, 0.6487666673777077, 0.5721720203439864, 0.7700205001024387, 0.765182881317935, 0.6477309168603367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8019647875150683, 0.7749349690307886, 0.0, 0.6669251349634404, 0.5487268059067604, 0.639325515472084, 0.6154527078978907, 0.7574777205471551, 0.715349394700766, 0.6617657884070481, 0.7497655290353465, 0.7733846858763257]"
4,64.99,Human,7.95,0.4904790955558427,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.8876424028482972, 0.0, 0.6278921566255656, 0.8018228353305034, 0.0, 1.005858905781537, 0.0, 0.0, 0.9251735098723541, 0.9025706870976204, 0.0, 0.0, 0.920261124558811, 0.0, 0.0, 0.0, 0.9209928851441369, 0.0, 0.9841303653721591, 0.9312560761264896, 0.0, 0.0, 0.8359830746540541, 0.9127090142647248, 0.0, 0.853167467071065, 0.7669404947553121, 0.8856177326390191, 0.9948424084549007, 0.755628858890001, 0.7443785788818947, 0.9194962701647297, 1.0172319445032503, 0.8153922826795276, 0.8636349678673724, 0.8370188742062211]"
5,79.72,Human,4.05,0.4249518775650012,"[0.0, 0.6182409724011134, 0.0, 0.6560219485173172, 0.6697021476669353, 0.5773495459639215, 0.642266201983166, 0.0, 0.6441168515358499, 0.0, 0.6241063581390149, 0.6455195769305235, 0.5566076436443025, 0.0, 0.0, 0.5464960612017418, 0.0, 0.0, 0.6450788741333079, 0.6659920726751786, 0.0, 0.6640461034139734, 0.6471774270826097, 0.5687161246417022, 0.6277472210924852, 0.0, 0.600120028797212, 0.6598177041412254, 0.0, 0.6679492720078904, 0.0, 0.0, 0.6161984554715032, 0.5922672737467807, 0.665887230444701, 0.6114026270016178, 0.5841872486382464, 0.6085212818194353, 0.6072685912164972, 0.6784895617015972, 0.5317325741551954]"
6,70.2,Human,1.77,0.6585614299697647,"[0.5920452507196234, 0.0, 0.7727755712137203, 0.5715992411003477, 0.5730377008379675, 0.8484437845196723, 0.6004968122781652, 0.5956500437728223, 0.52481255535827, 0.8966835624239958, 0.4720036868906519, 0.5815882950263147, 0.7745602587128274, 0.5055200941005675, 0.7398812338418449, 0.5628374043826841, 0.7742804652761587, 0.5721396137011463, 0.5956070312967443, 0.5892874394478503, 0.7385630858959878, 0.4992745651764472, 0.5911362743023586, 0.47610649592473125, 0.5783102077812067, 0.656864689439775, 0.9042859995801054, 0.594934264681046, 0.5766242629888709, 0.6064029078880623, 0.8671350125485694, 0.5405429799668242, 0.8016246327553659, 0.8851383441450085, 0.8950495939956453, 0.7070650282377181, 0.7964894472324011, 0.7367293599494492, 0.7011694026523606, 0.8462449263985377, 0.8580771023185106]"
7,71.16,Human,10.53,0.5867779052919568,"[0.0, 0.9636626812285102, 0.8177549667385261, 0.9501234392657877, 0.749028764801367, 0.0, 0.7720841712203436, 0.7608161816484701, 0.6884507475214722, 0.774529750041844, 0.0, 0.7602584738210116, 0.0, 0.7518726659345675, 0.753270850194036, 0.7622487513361639, 0.0, 0.7587744868797333, 0.0, 0.0, 0.0, 0.8545649973517978, 0.7582168072280526, 0.7422277074422731, 0.7541730850385767, 0.9295005343152677, 0.7788482757965309, 0.0, 0.7588053514868619, 0.7384190879372607, 0.0, 0.0, 0.9842682628413901, 0.8008508709013504, 0.9481294585902801, 0.7458273718117192, 0.7668715371810697, 0.753289489107775, 0.8531208799699683, 0.8844139539213837, 0.7434905154168384]"
8,31.14,Human,10.81,0.3971999512472046,"[0.7689776260623264, 0.0, 0.7788588474504268, 0.0, 0.7837974100944601, 0.0, 0.0, 0.0, 0.0, 0.6152128895933895, 0.7644829802275978, 0.0, 0.0, 0.7855384563940992, 0.0, 0.8563054452018422, 0.7811847374798557, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7614148455465822, 0.0, 0.0, 0.0, 0.7723621688790728, 0.7868944049125943, 0.8121511879180564, 0.0, 0.0, 0.0, 0.7748737222190595, 0.7748117724132215, 0.7668039079432796, 0.7355054218911042, 0.7488714295183302, 0.7553070009659762, 0.8029103883738098, 0.7795093543692749, 0.8794240036810284]"
9,85.14,Human,0.49,0.5433288300565322,"[0.4367305896324457, 0.597427906734234, 0.4431272562213248, 0.5785570758807137, 0.5013503058728344, 0.5572424669811046, 0.4874929006006868, 0.5981160383970839, 0.45799270319063706, 0.4438791679229971, 0.6293567342627219, 0.5061240979764671, 0.5493004368497538, 0.5817610002610565, 0.5738901618731937, 0.5506129756489054, 0.5545867852648337, 0.6085456064745455, 0.545848530329396, 0.5467411666871622, 0.44387297714845314, 0.37883543753861576, 0.4950859756616543, 0.5060819397523664, 0.6695518643509025, 0.6088615529611924, 0.549077043946142, 0.5130751415534001, 0.4823812240777082, 0.6259675833771502, 0.44402458734698635, 0.44656682373139595, 0.5680599149326806, 0.6370458734948794, 0.5314299172135323, 0.5333382619818162, 0.662325284227072, 0.6063687021845704, 0.6146057041115164, 0.5738004409435544, 0.6374418747201374]"
12,70.48,Human,6.62,0.6238753981851629,"[0.7501982614533578, 0.817031203535517, 0.7524661237394791, 0.744846609023145, 0.705248070363809, 0.7342427406685584, 0.8054711286103508, 0.0, 0.7069784117075989, 0.6387844062868523, 0.0, 0.7489428334751751, 0.7895365993717726, 0.0, 0.6818500681232658, 0.7470033667886834, 0.741700587695911, 0.7463953888474297, 0.7582168072280526, 0.7593108936319787, 0.6870788171550666, 0.0, 0.7818093402243954, 0.7409315631517066, 0.0, 0.7466613993482728, 0.7487616448691344, 0.7571366545275211, 0.7463953888474297, 0.0, 0.7441291849344769, 0.85742840159875, 0.8537132674455865, 0.7066345473493021, 0.0, 0.7469774551872745, 0.7096966946170474, 0.7086400280191237, 0.7739053374277702, 0.7644440779768434, 0.8763240223610427]"
13,88.45,Human,3.36,0.8910755699665854,"[0.9182895197155293, 1.2063406442230968, 1.2903640150879105, 0.9228063772435232, 0.92937545638569, 0.800738253727626, 1.0182671193328836, 0.0, 0.9860952545523681, 0.9013186559501568, 1.073611264632991, 1.1775518377294654, 1.1608225280297062, 1.0142697069504727, 0.0, 1.0042304757017666, 0.9241510531130429, 0.9186027457686404, 0.0, 0.9378986412852001, 0.944453104047481, 0.9492084346267134, 0.963771159750717, 0.9296763330414011, 0.9178494237256921, 1.146578113774673, 0.9790359542656877, 0.0, 0.9759162489014434, 1.2047374268218727, 0.0, 0.0, 1.220711262510638, 1.2251515874918735, 0.9272187710698879, 1.0578621285057141, 1.2695893828653022, 1.1244970854219465, 1.068385498562043, 1.15322005139814, 1.291502852418706]"
14,118.99,Human,0.0,0.32864089147860037,"[0.6102001172891027, 0.6361556161173538, 0.0, 0.6413585291939913, 0.0, 0.0, 0.6477309168603367, 0.7328384306153025, 0.0, 0.5890521516186845, 0.0, 0.0, 0.0, 0.0, 0.6545983574688962, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6982660667379185, 0.666175061177392, 0.0, 0.0, 0.6906923167273957, 0.0, 0.0, 0.697323235683092, 0.0, 0.0, 0.0, 0.6559526343288812, 0.6532630510953052, 0.6656685628675213, 0.7772538686469704, 0.6863933916845774, 0.6973303036362504, 0.6746526748674029, 0.6531695754214426, 0.7462016885847989]"
