,value
4,0.1315035533508586
413,0.1367343929775542
173,0.1380684446215
213,0.1637431300572787
304,0.1994907038054354
420,0.2332405820956866
166,0.2426626434844359
228,0.2580272204139019
256,0.2603945047699097
163,0.2757527031942567
419,0.2767874807964934
6,0.2977679428755913
285,0.3105018177600978
243,0.3270816385316092
266,0.3279724879590346
447,0.3296889608372218
348,0.3296889608372218
152,0.3339563307905144
254,0.3452095463197069
201,0.3483822612439877
125,0.35807543853855
230,0.358894283082509
268,0.3595057837594709
130,0.3626913804307217
255,0.3671113361057713
75,0.3724588335130218
403,0.3753287419686866
257,0.3844796225578668
1,0.3917685012185699
471,0.3920632508417571
55,0.3983772809076458
239,0.4035020402137818
351,0.4043741009309949
341,0.4056582977496721
353,0.4148919763394489
241,0.4193147573524836
118,0.4207362682821864
121,0.427022621442057
250,0.4313820897616416
225,0.4326711492895703
314,0.4327180702900224
60,0.4352894897436546
321,0.440489216196632
472,0.4413061493075025
316,0.4489897315233125
90,0.4520551951866421
429,0.4556384236842817
93,0.4589390288953232
79,0.4594760486240482
395,0.4598756577698487
251,0.4626224400843978
58,0.4642876863626328
97,0.4673432751337772
193,0.4675137143522166
484,0.4745463008144058
291,0.4765181654496389
325,0.4772661003617426
252,0.4781619361339089
198,0.4781822209083441
191,0.4814725199705482
324,0.4862104213904689
331,0.4866928554984094
492,0.4887021896861163
42,0.4902970855213271
343,0.4927784786767014
106,0.4930735936033125
159,0.4956794584738176
84,0.4969731508629897
344,0.5002664473282967
149,0.5029856271887403
133,0.5039654253504339
270,0.5075342796770332
443,0.5077187356918956
318,0.5077187356918956
489,0.5097272988702027
499,0.5105128633205267
242,0.5127919589317411
486,0.5152175212092689
182,0.5155335014408456
76,0.5180659527228814
327,0.5212968074865175
122,0.5241963258799393
297,0.528355168881216
74,0.5283561670118361
401,0.5286278324214554
320,0.5287653683767275
187,0.5307527282343845
171,0.5324825137253475
328,0.5353868573631114
16,0.5373500009597435
52,0.5376088303748752
188,0.5380486013029413
145,0.5404073193242023
148,0.5412129497687691
124,0.5420180868921423
23,0.5423209252244954
378,0.5428390660724465
18,0.5430444315451063
282,0.5434477903913346
336,0.5442457979160069
219,0.5459513103365013
86,0.5482291872523712
114,0.5482636057891113
300,0.548279207309526
21,0.5517498404783704
168,0.5521477948105671
493,0.5533159608174482
309,0.5542783515368612
298,0.5553783717575059
0,0.5553886730627524
27,0.5566215677027749
323,0.5584157580913313
229,0.5588031053538796
179,0.5588127828682545
77,0.5590095722837835
354,0.5604418235643118
404,0.5635947575065957
162,0.5641172649392796
385,0.5675277280713483
161,0.5676921849669083
473,0.569404582214901
104,0.5697472367903953
73,0.5702695801264953
216,0.5718917277823066
71,0.5719213201188293
421,0.5737532597615225
82,0.5768633124737426
445,0.5769431798459106
95,0.5784250318941557
432,0.5788133772893761
47,0.5795998764815552
303,0.586877460800207
224,0.588891479757142
89,0.5902188678280554
64,0.5916738864189347
301,0.5951932445353442
277,0.5959012588959441
91,0.5975618245458185
136,0.5996796998753549
431,0.6010498529871745
368,0.6026519569094971
50,0.6048674012007589
192,0.6052506165999056
340,0.6061064565647957
247,0.6063708040624243
185,0.6065394128469186
49,0.6066708369498676
35,0.6066758800064203
54,0.6068820500214959
99,0.6087775330539353
211,0.6111347141303598
146,0.6125052367800707
477,0.6138287996693313
437,0.6139284891592525
498,0.6154110543911235
231,0.6170425404363726
408,0.6176122164128367
482,0.6178633104686571
248,0.6217776453187367
